'COA','Fiscal Year','Index','Fund','Organization','Account','Program','Activity','Location','Period','Commit Type',,,,
U,24,W70158,820158,970102,,600,,,,,,,,
'Account','Organization','Program','Activity Date','Type','Document','Description','Commit Type','Fund','Activity','Location','Transaction Date','Field','Amount','Increase (+) or Decrease (-)'
630201,970102,600,2/14/2024 2:05,HGRB,F0145123,HR Payroll 2024 SF 3 0,U,970158,,,2/15/2024 0:00,YTD,86.25,+
630201,970102,600,1/31/2024 2:05,HGRB,F0144947,HR Payroll 2024 SF 2 0,U,970158,,,1/31/2024 23:59,YTD,86.28,+
630201,970102,600,1/11/2024 2:03,HGRB,F0144483,HR Payroll 2024 SF 1 0,U,970158,,,1/12/2024 0:00,YTD,93.98,+
630201,970102,600,12/22/2023 2:03,HGRB,F0143969,HR Payroll 2023 SF 24 0,U,970158,,,12/29/2023 0:00,YTD,17.81,+
630201,970102,600,12/14/2023 2:05,HGRB,F0143842,HR Payroll 2023 SF 23 0,U,970158,,,12/15/2023 0:00,YTD,17.81,+
630201,970102,600,11/30/2023 2:04,HGRB,F0143664,HR Payroll 2023 SF 22 0,U,970158,,,11/30/2023 23:59,YTD,17.81,+
630201,970102,600,11/15/2023 2:03,HGRB,F0143518,HR Payroll 2023 SF 21 0,U,970158,,,11/15/2023 23:59,YTD,17.8,+
630201,970102,600,10/28/2023 2:03,HGRB,F0143257,HR Payroll 2023 SF 20 0,U,970158,,,10/31/2023 0:00,YTD,17.82,+
630201,970102,600,10/12/2023 2:06,HGRB,F0143091,HR Payroll 2023 SF 19 0,U,970158,,,10/13/2023 0:00,YTD,17.83,+
630201,970102,600,9/28/2023 2:06,HGRB,F0142991,HR Payroll 2023 SF 18 0,U,970158,,,9/29/2023 0:00,YTD,17.81,+
630201,970102,600,9/15/2023 2:05,HGRB,F0142883,HR Payroll 2023 SF 17 0,U,970158,,,9/15/2023 23:59,YTD,17.82,+
630201,970102,600,8/31/2023 2:05,HGRB,F0142574,HR Payroll 2023 SF 16 0,U,970158,,,8/31/2023 23:59,YTD,17.82,+
630201,970102,600,8/12/2023 2:04,HGRB,F0141978,HR Payroll 2023 SF 15 0,U,970158,,,8/15/2023 0:00,YTD,17.82,+
630201,970102,600,7/29/2023 2:12,HGRB,F0141698,HR Payroll 2023 SF 14 0,U,970158,,,7/31/2023 0:00,YTD,17.82,+
710000,970102,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970158,,,7/27/2023 23:59,OBD,30000,+
710707,970102,600,2/14/2024 2:04,HGNL,F0145123,HR Payroll 2024 SF 3 0,U,970158,,,2/15/2024 0:00,YTD,1143.14,+
710707,970102,600,1/31/2024 2:04,HGNL,F0144947,HR Payroll 2024 SF 2 0,U,970158,,,1/31/2024 23:59,YTD,1143.14,+
710707,970102,600,1/11/2024 2:02,HGNL,F0144483,HR Payroll 2024 SF 1 0,U,970158,,,1/12/2024 0:00,YTD,1245.25,+
710707,970102,600,12/22/2023 2:02,HGNL,F0143969,HR Payroll 2023 SF 24 0,U,970158,,,12/29/2023 0:00,YTD,1245.25,+
710707,970102,600,12/14/2023 2:04,HGNL,F0143842,HR Payroll 2023 SF 23 0,U,970158,,,12/15/2023 0:00,YTD,1245.25,+
710707,970102,600,11/30/2023 2:03,HGNL,F0143664,HR Payroll 2023 SF 22 0,U,970158,,,11/30/2023 23:59,YTD,1245.25,+
710707,970102,600,11/15/2023 2:03,HGNL,F0143518,HR Payroll 2023 SF 21 0,U,970158,,,11/15/2023 23:59,YTD,1245.25,+
710707,970102,600,10/28/2023 2:02,HGNL,F0143257,HR Payroll 2023 SF 20 0,U,970158,,,10/31/2023 0:00,YTD,1245.25,+
710707,970102,600,10/12/2023 2:05,HGNL,F0143091,HR Payroll 2023 SF 19 0,U,970158,,,10/13/2023 0:00,YTD,1245.25,+
710707,970102,600,9/28/2023 2:04,HGNL,F0142991,HR Payroll 2023 SF 18 0,U,970158,,,9/29/2023 0:00,YTD,1245.25,+
710707,970102,600,9/15/2023 2:04,HGNL,F0142883,HR Payroll 2023 SF 17 0,U,970158,,,9/15/2023 23:59,YTD,1245.25,+
710707,970102,600,8/31/2023 2:03,HGNL,F0142574,HR Payroll 2023 SF 16 0,U,970158,,,8/31/2023 23:59,YTD,1245.25,+
710707,970102,600,8/12/2023 2:03,HGNL,F0141978,HR Payroll 2023 SF 15 0,U,970158,,,8/15/2023 0:00,YTD,1245.25,+
710707,970102,600,7/29/2023 2:07,HGNL,F0141698,HR Payroll 2023 SF 14 0,U,970158,,,7/31/2023 0:00,YTD,1245.25,+
